item_id,year,item_name,item_description
100,2008,"ButterBurger Cheese, Kids Meals","ButterBurger Cheese, Kids Meals, Kids"
100353,2008,Chicken Florentine w/ Dressing,"Chicken Florentine w/ Dressing, Insalata Salads, Lunch & Dinner"
1009,2008,"Western w/ Cheese Breakfast Sandwich, 6""","Western w/ Cheese Breakfast Sandwich, Breakfast Sandwiches, 6"""
101776,2008,"Vanilla Latte w/ Whole Milk, Grande","Vanilla Latte w/ Whole Milk, Grande"
102444,2008,"Guacamole, Side","Guacamole, Side, Specialties"
102554,2008,Cranberry Fruit Muffin,"Cranberry Fruit Muffin, Muffins"
102757,2008,Iced Coffee,"Iced Cappuccino, Beverages"
10304,2008,"Bacon, Egg & Cheese Biscuit","Bacon, Egg & Cheese Biscuit w/ Biscuit, Bacon, Swiss Slice Processed & Egg Scrambled Patty, Breakfast"
10305,2008,Bacon Egg & Cheese Croissant,"Bacon Egg & Cheese Croissant w/ Croissant, Bacon, Swiss Slice Processed, Egg Scrambled Patty, Breakfast"
10306,2008,"Bacon, Egg & Cheese Sourdough","Bacon, Egg & Cheese Sourdough w/ Sourdough, Bacon, Egg Scrambled Patty & Swiss, Slice Processed , Breakfast"
10307,2008,"Bacon, Egg & Cheese Wrap","Bacon, Egg & Cheese Wrap w/ Egg Scrambled Patty, Breakfast Tortilla, American Cheese Slice, Potato Cake & Bacon, Breakfast"
1031,2008,Biscuit Sandwich w/ Egg & Cheese,"Biscuit Sandwich w/ Egg & Cheese, Menu Items"
10323,2008,"Ham, Egg & Cheese Biscuit","Ham, Egg & Cheese Biscuit w/ Biscuit, Roast Ham, Egg Scrambled Patty & Swiss Slice Processed, Breakfast"
10324,2008,"Ham, Egg & Cheese Croissant","Ham, Egg & Cheese Croissant w/ Egg Scrambled Patty, Croissant, Roast Ham & Swiss Slice Processed, Breakfast"
10325,2008,"Ham, Egg & Cheese Sourdough","Ham, Egg & Cheese Sourdough w/ Sourdough, Roast Ham, Egg Scrambled Patty & Swiss Slice Processed, Breakfast"
10326,2008,"Ham, Egg, & Cheese Wrap","Ham, Egg, & Cheese Wrap w/ Egg Scrambled Patty, Breakfast Tortilla, American Cheese Slice, Potato Cake, Roast Ham, Breakfast"
1033,2008,Biscuit w/ Bacon,"Biscuit w/ Bacon, Menu Items"
10338,2008,Roast Turkey Ranch & Bacon Wrap,"Roast Turkey Ranch & Bacon Wrap on Wheat Tortilla Wrap w/ Cheddar, Sliced Natural, Creamy Raunch Spread, Leaf Lettuce, Pepper Bacon, Red Onion Rings, Roast Turkey & Tomato, Sliced, Market Fresh Sandwiches & Wraps"
10339,2008,Sausage Biscuit,"Sausage Biscuit w/ Biscuit & Sausage, Breakfast"
1034,2008,Biscuit w/ Sausage,"Biscuit w/ Sausage, Menu Items"
10340,2008,Sausage Gravy Biscuit,"Sausage Gravy Biscuit w/ Biscuit, Sausage & Country Gravy, Breakfast"
10341,2008,"Sausage, Egg & Cheese Biscuit","Sausage, Egg & Cheese Biscuit w/ Sausage, Egg Scrambled Patty, Swiss Slice Processed & Biscuit, Breakfast"
10342,2008,"Sausage, Egg & Cheese Croissant","Sausage, Egg & Cheese Croissant w/ Croissant, Sausage, Swiss Slice Processed, Egg Scrambled Patty, Breakfast"
10343,2008,"Sausage, Egg & Cheese Sourdough","Sausage, Egg & Cheese Sourdough w/ Egg Scrambled Patty, Swiss Slice Processed, Sourdough & Sausage, Breakfast"
10344,2008,"Sausage, Egg & Cheese Wrap","Sausage, Egg & Cheese Wrap w/ Egg Scrambled Patty, Breakfast Tortilla, American Cheese Slice, Potato Cake & Sausage, Breakfast"
1035,2008,Breakfast on a Bun w/ Bacon,"Breakfast on a Bun w/ Bacon, Menu Item"
1036,2008,Breakfast on a Bun w/ Sausage,"Breakfast on a Bun w/ Sausage, Menu Item"
1037,2008,Egg Sandwich,"Egg Sandwich, Menu Item"
1038,2008,Honey Butter Chicken Biscuit,"Honey Butter Chicken Biscuit, Menu Item"
103921,2008,"Vanilla Shake, New York Region, Small","Vanilla Shake, New York Region, Milkshakes, Beverages, Small, 21 fl oz"
103922,2008,"Vanilla Shake, New York Region, Medium","Vanilla Shake, New York Region, Milkshakes, Beverages, Medium, 32 fl oz"
103923,2008,"Vanilla Shake, New York Region, Large","Vanilla Shake, New York Region, Milkshakes, Beverages, Large, 44 fl oz"
103924,2008,"Chocolate Shake, New York Region, Large","Chocolate Shake, New York Region, Milkshakes, Beverages, Large, 44 fl oz"
103925,2008,"Chocolate Shake, New York Region, Medium","Chocolate Shake, New York Region, Milkshakes, Beverages, Medium, 32 fl oz"
103926,2008,"Chocolate Shake, New York Region, Small","Chocolate Shake, New York Region, Milkshakes, Beverages, Small, 21 fl oz"
10395,2008,Chocolate Turnover,"Chocolate Turnover, Shakes & Desserts"
10401,2008,"Vanilla Shake, Large","Vanilla Shake, Large, Shakes & Desserts"
10404,2008,"Coffee, 12 oz, Regular","Coffee, 12 oz, Regular, Beverages"
10405,2008,Orange Juice,"Orange Juice, Beverages"
10406,2008,"Pepsi, 22 oz","Pepsi, 22 oz, Beverages"
10407,2008,"Diet Pepsi, 22 oz","Diet Pepsi, 22 oz, Beverages"
10408,2008,"Mountain Dew, 22 oz","Mountain Dew, 22 oz, Beverages"
10409,2008,"Sierra Mist, 22 oz","Sierra Mist, 22 oz, Beverages"
105000,2008,Tortilla Chicken Melt Appetizer,Tortilla Chicken Melt Appetizer
105001,2008,Chocolate Raspberry Layer Cake,Chocolate Raspberry Layer Cake
105002,2008,Teriyaki Steak' N Shrimp Skewers,Teriyaki Steak' N Shrimp Skewers
105003,2008,Steak & Portobellos,Steak & Portobellos
105004,2008,Confetti Chicken,Confetti Chicken
105005,2008,Cajun Lime Tilapia,Cajun Lime Tilapia
105006,2008,Grilled Chili Lime Chicken Salad,Grilled Chili Lime Chicken Salad
105007,2008,Italian Chicken & Portobello Sandwich,Italian Chicken & Portobello Sandwich
105008,2008,Onion Soup Au Gratin,Onion Soup Au Gratin
105009,2008,"10 Jalapeno Bites, Large","10 Jalapeno Bites, Large, Side & Sidekickers"
105010,2008,"8 Mozzarella Sticks, Large","8 Mozzarella Sticks, Large, Side & Sidekickers"
105011,2008,Fruit Cup,"Fruit Cup w/ Grapes & Diced Apples, Kids Menu"
105012,2008,Apple Turnover,"Apple Turnover w/ Turnover Icing, Shakes & Desserts"
105013,2008,Cherry Turnover,"Cherry Turnover w/ Turnover Icing, Shakes & Desserts"
105014,2008,Blueberry Muffin,"Blueberry Muffin, Breakfast"
105015,2008,Chocolate Twist,"Chocolate Twist, TJ Cinnamons"
105016,2008,Cinnamon Twist,"Cinnamon Twist, TJ Cinnamons"
105017,2008,Original Gourmet Cinnamon Roll,"Original Gourmet Cinnamon Roll, TJ Cinnamons"
105018,2008,Pecan Sticky Bun,"Pecan Sticky Bun w/ Cinnamon Roll, Sticky Bun Smear & Pecans, TJ Cinnamons"
105019,2008,Pecan Sticky Bun 4 Pack,"Pecan Sticky Bun 4 Pack w/ Cinnamon Roll, Sticky Bun Smear & Pecans, TJ Cinnamons"
105020,2008,TJ Cinnamons Mocha Chill,"TJ Cinnamons Mocha Chill w/ Mocha Chill & Whipped Cream, TJ Cinnamons"
105021,2008,"Mountain Dew, 32 oz","Mountain Dew, 32 oz, Beverages"
105022,2008,"Sierra Mist, 16 oz","Sierra Mist, 16 oz, Beverages"
105023,2008,"Pepsi, 16 oz","Pepsi, 16 oz, Beverages"
105024,2008,"Diet Pepsi, 32 oz","Diet Pepsi, 32 oz, Beverages"
105025,2008,"Dr Pepper, 32 oz","Dr Pepper, 32 oz, Beverages"
105026,2008,"Diet Pepsi, 16 oz","Diet Pepsi, 16 oz, Beverages"
105027,2008,"Dr Pepper, 16 oz","Dr Pepper, 16 oz, Beverages"
105028,2008,"Chocolate Shake, Large","Chocolate Shake w/ Vanilla Shake Mix & Chocolate Syrup, Large, Shakes & Desserts"
105029,2008,"Chocolate Shake, Regular","Chocolate Shake w/ Vanilla Shake Mix & Chocolate Syrup, Regular, Shakes & Desserts"
105030,2008,"Jamocha Shake, Large","Jamocha Shake w/ Vanilla Shake Mix & Jamocha Syrup, Large, Shakes & Desserts"
105031,2008,"Jamocha Shake, Regular","Jamocha Shake w/ Vanilla Shake Mix & Jamocha Syrup, Regular, Shakes & Desserts"
105032,2008,"Strawberry Shake, Large","Strawberry Shake w/ Vanilla Shake Mix & Jamocha Syrup, Large, Shakes & Desserts"
105033,2008,"Strawberry Shake, Regular","Strawberry Shake w/ Vanilla Shake Mix & Jamocha Syrup, Regular, Shakes & Desserts"
105034,2008,"Vanilla Shake, Regular","Vanilla Shake, Regular, Shakes & Desserts"
105035,2008,Berry Delight Swirl Shake,"Berry Delight Swirl Shake w/ Berry Delight Syrup, Raspberry Swirl & Vanilla Shake Mix, Limited Time Offers"
105036,2008,"Sweet Tea, 16 oz","Sweet Tea, 16 oz, Beverages"
105037,2008,"Pepsi, 32 oz","Pepsi, 32 oz, Beverages"
105038,2008,"Sierra Mist, 32 oz","Sierra Mist, 32 oz, Beverages"
105039,2008,"Mountain Dew, 16 oz","Mountain Dew, 16 oz, Beverages"
105040,2008,"Dr Pepper, 22 oz","Dr Pepper, 22 oz, Beverages"
105041,2008,Chocolate Chip Cookie,"Chocolate Chip Cookie, Shakes & Desserts"
105042,2008,Popcorn Chicken Shakers,"Popcorn Chicken Shakers w/ BBQ Dipping Sauce & Buffalo Dipping Sauce, Arby's Chicken"
105043,2008,"Chicken Bacon & Swiss, Grilled","Chicken Bacon & Swiss on Regular Sesame Bun w/ Grilled Chicken Breast, Pepper Bacon, Dijon Honey Mustard Sauce & Swiss, Slice Processed, Grilled, Arby's Chicken"
105044,2008,French Toastix,"French Toastix, Breakfast"
105045,2008,Sausage Patty,"Sausage Patty, Breakfast"
